Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
NFC: a deep and hybrid item-based model for item cold-start recommendation,User Modeling and User-Adapted Interaction,,32,4,10.1007/s11257-021-09303-w,Cesare BernardisPaolo Cremonesi,2022,http://link.springer.com/article/10.1007/s11257-021-09303-w,Article
A survey on large language models for recommendation,World Wide Web,,27,5,10.1007/s11280-024-01291-2,Likang WuZhi ZhengZhaopeng QiuHao WangHongchao GuTingjia ShenChuan QinChen ZhuHengshu ZhuQi LiuHui XiongEnhong Chen,2024,http://link.springer.com/article/10.1007/s11280-024-01291-2,Article
Federated Constrastive Learning and Visual Transformers for Personal Recommendation,Cognitive Computation,,16,5,10.1007/s12559-024-10286-0,Asma BelhadiYoucef DjenouriFabio Augusto de Alcantara AndradeGautam Srivastava,2024,http://link.springer.com/article/10.1007/s12559-024-10286-0,Article
Restoring latent factors against negative transfer using partial-adaptation nonnegative matrix factorization,CCF Transactions on Pervasive Computing and Interaction,,2,1,10.1007/s42486-019-00018-x,Ming HeJiuling ZhangJiang Zhang,2020,http://link.springer.com/article/10.1007/s42486-019-00018-x,Article
Personalized recommendation: From clothing to academic,Multimedia Tools and Applications,,81,10,10.1007/s11042-022-12259-7,Agyemang PaulZhefu WuKai LiuShufeng Gong,2022,http://link.springer.com/article/10.1007/s11042-022-12259-7,Article
Dynamic negative sampling for recommendation with feature matching,Multimedia Tools and Applications,,83,16,10.1007/s11042-023-17521-0,Xilin WenJianfang WangXu Yang,2024,http://link.springer.com/article/10.1007/s11042-023-17521-0,Article
Information gain based dynamic support set construction for cold-start recommendation,Journal of Intelligent Information Systems,,61,3,10.1007/s10844-023-00795-z,Yu LiTetsuya Furukawa,2023,http://link.springer.com/article/10.1007/s10844-023-00795-z,Article
Exploiting the wisdom of social connections to make personalized recommendations on scholarly articles,Journal of Intelligent Information Systems,,42,3,10.1007/s10844-013-0298-8,Maria Soledad PeraYiu-Kai Ng,2014,http://link.springer.com/article/10.1007/s10844-013-0298-8,Article
A benchmarking study of classification techniques for behavioral data,International Journal of Data Science and Analytics,,9,2,10.1007/s41060-019-00185-1,Sofie De CnuddeDavid MartensTheodoros EvgeniouFoster Provost,2020,http://link.springer.com/article/10.1007/s41060-019-00185-1,Article
PDA-GNN: propagation-depth-aware graph neural networks for recommendation,World Wide Web,,26,5,10.1007/s11280-023-01200-z,Xinglong WuHui HeHongwei YangYu TaiZejun WangWeizhe Zhang,2023,http://link.springer.com/article/10.1007/s11280-023-01200-z,Article
Hybrid Collaborative Filtering algorithm for bidirectional Web service recommendation,Knowledge and Information Systems,,36,3,10.1007/s10115-012-0562-1,Jie CaoZhiang WuYouquan WangYi Zhuang,2013,http://link.springer.com/article/10.1007/s10115-012-0562-1,Article
The social bookmark and publication management system bibsonomy,The VLDB Journal,,19,6,10.1007/s00778-010-0208-4,Dominik BenzAndreas HothoRobert JäschkeBeate KrauseFolke MitzlaffChristoph SchmitzGerd Stumme,2010,http://link.springer.com/article/10.1007/s00778-010-0208-4,Article
A cross-country study on cultural similarities based on book preferences,Social Network Analysis and Mining,,10,1,10.1007/s13278-020-00695-y,Nazanin SabriSadaf SadeghianBehnam Bahrak,2020,http://link.springer.com/article/10.1007/s13278-020-00695-y,Article
Link prediction in social networks: the state-of-the-art,Science China Information Sciences,,58,1,10.1007/s11432-014-5237-y,Peng WangBaoWen XuYuRong WuXiaoYu Zhou,2015,http://link.springer.com/article/10.1007/s11432-014-5237-y,Article
Leveraging item attribute popularity for group recommendation,International Journal of System Assurance Engineering and Management,,15,6,10.1007/s13198-024-02286-y,Rakhi SaxenaSharanjit KaurHarita AhujaSunita Narang,2024,http://link.springer.com/article/10.1007/s13198-024-02286-y,Article
Hybrid music recommendation with graph neural networks,User Modeling and User-Adapted Interaction,,,,10.1007/s11257-024-09410-4,Matej BevecMarko TkalčičMatevž Pesek,2024,http://link.springer.com/article/10.1007/s11257-024-09410-4,Article
Two-stage sequential recommendation for side information fusion and long-term and short-term preferences modeling,Journal of Intelligent Information Systems,,59,3,10.1007/s10844-022-00723-7,Jingsheng LeiYuexin LiShengying YangWenbin ShiYi Wu,2022,http://link.springer.com/article/10.1007/s10844-022-00723-7,Article
Recommending multimedia visiting paths in cultural heritage applications,Multimedia Tools and Applications,,75,7,10.1007/s11042-014-2062-7,Ilaria BartoliniVincenzo MoscatoRuggero G. PensaAntonio PentaAntonio PicarielloCarlo SansoneMaria Luisa Sapino,2016,http://link.springer.com/article/10.1007/s11042-014-2062-7,Article
A survey on personality-aware recommendation systems,Artificial Intelligence Review,,55,3,10.1007/s10462-021-10063-7,Sahraoui DhelimNyothiri AungMohammed Amine BourasHuansheng NingErik Cambria,2022,http://link.springer.com/article/10.1007/s10462-021-10063-7,Article
